Time,Market,PnL
12:14 PM,BTC,+$89.73
12:14 PM,BTC,$-52.14
12:14 PM,ETH,+$70.82
12:14 PM,ETH,$-46.10
12:59 PM,BTC,$-70.68
12:59 PM,BTC,+$28.20
12:59 PM,ETH,$-53.56
12:59 PM,ETH,+$25.94
01:59 PM,BTC,$-115.30
01:59 PM,BTC,+$112.88
01:59 PM,ETH,$-18.10
01:59 PM,ETH,+$9.80
