Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Fees,Balance After,Strategy,Status
2026-01-04T15:17:33.677Z,1/4/2026,3:17:33 PM,paper_1767539853677_qctiuxo30,BUY,"Bitcoin Up or Down - January 4, 10:15AM-10:30AM ET",Down,0x97292a6545e2314a89415bee70e4c34f3b9f49e977c3020c93e491ffec7379bb,52058025641805586973560958335135463334943236404860025585692152270692113704111,12.6300,0.6096,7.70,0.0077,9992.29,inventory-rebalancing,filled
2026-01-04T15:17:33.763Z,1/4/2026,3:17:33 PM,paper_1767539853763_48jyzcuhr,BUY,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET",Down,0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,34063249789873893185896660035227592329673609057542335421945677953173953318189,12.6000,0.6241,7.86,0.0079,9984.42,inventory-rebalancing,filled
2026-01-04T15:17:33.923Z,1/4/2026,3:17:33 PM,paper_1767539853923_65tzod2y5,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Down,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,22831624436151072482123131472605168796501169678019310186620729537843710117022,12.6600,0.5998,7.59,0.0076,9976.82,inventory-rebalancing,filled
2026-01-04T15:17:34.061Z,1/4/2026,3:17:34 PM,paper_1767539854061_pb3crb2sn,BUY,"Ethereum Up or Down - January 4, 10AM ET",Down,0xbe78807becfc96c01f801f701c2c8791d114db61146ae058b57f6c57bdc9ef0d,77927083237166936309151264626214868439325583928105283225072748041499741481776,13.1500,0.4657,6.12,0.0061,9970.69,inventory-rebalancing,filled
2026-01-04T15:17:35.386Z,1/4/2026,3:17:35 PM,paper_1767539855386_jms0w2kvh,BUY,"Bitcoin Up or Down - January 4, 10:15AM-10:30AM ET",Up,0x97292a6545e2314a89415bee70e4c34f3b9f49e977c3020c93e491ffec7379bb,34435244006029576656590499905919946953551753524782385341073323226978675359324,13.4600,0.4047,5.45,0.0054,9965.24,inventory-rebalancing,filled
2026-01-04T15:17:35.424Z,1/4/2026,3:17:35 PM,paper_1767539855424_z2ze66etn,BUY,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET",Up,0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,56483501181156775579130961145614869411413399000564046614032204456294368904017,13.6600,0.3747,5.12,0.0051,9960.11,inventory-rebalancing,filled
2026-01-04T15:17:35.450Z,1/4/2026,3:17:35 PM,paper_1767539855450_f2tem897q,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Up,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,47788254812513699203435116117075386196932751989037594316269238114832097910708,13.5000,0.4003,5.40,0.0054,9954.71,inventory-rebalancing,filled
2026-01-04T15:17:35.481Z,1/4/2026,3:17:35 PM,paper_1767539855481_a33z2isv3,BUY,"Ethereum Up or Down - January 4, 10AM ET",Up,0xbe78807becfc96c01f801f701c2c8791d114db61146ae058b57f6c57bdc9ef0d,15959891887341172544668286220954998246672729785316275587074137249395056297832,12.8500,0.5409,6.95,0.0070,9947.75,inventory-rebalancing,filled
2026-01-04T15:17:36.512Z,1/4/2026,3:17:36 PM,paper_1767539856512_m72996dli,BUY,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET",Down,0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,34063249789873893185896660035227592329673609057542335421945677953173953318189,12.6000,0.6245,7.87,0.0079,9939.87,inventory-rebalancing,filled
2026-01-04T15:17:36.540Z,1/4/2026,3:17:36 PM,paper_1767539856540_y1peh65l2,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Down,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,22831624436151072482123131472605168796501169678019310186620729537843710117022,12.6600,0.5994,7.59,0.0076,9932.28,inventory-rebalancing,filled
2026-01-04T15:17:37.578Z,1/4/2026,3:17:37 PM,paper_1767539857578_7vw4okkxu,BUY,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET",Down,0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,34063249789873893185896660035227592329673609057542335421945677953173953318189,12.6000,0.6254,7.88,0.0079,9924.39,inventory-rebalancing,filled
2026-01-04T15:17:37.618Z,1/4/2026,3:17:37 PM,paper_1767539857618_z3elmxmrw,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Down,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,22831624436151072482123131472605168796501169678019310186620729537843710117022,12.6600,0.5992,7.59,0.0076,9916.79,inventory-rebalancing,filled
2026-01-04T15:17:38.655Z,1/4/2026,3:17:38 PM,paper_1767539858655_bthx2efhc,BUY,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET",Down,0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,34063249789873893185896660035227592329673609057542335421945677953173953318189,12.6000,0.6248,7.87,0.0079,9908.91,inventory-rebalancing,filled
2026-01-04T15:17:38.689Z,1/4/2026,3:17:38 PM,paper_1767539858689_1cwmq82sp,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Down,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,22831624436151072482123131472605168796501169678019310186620729537843710117022,12.6600,0.5996,7.59,0.0076,9901.32,inventory-rebalancing,filled
2026-01-04T15:17:39.725Z,1/4/2026,3:17:39 PM,paper_1767539859725_caejhc0lh,BUY,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET",Down,0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,34063249789873893185896660035227592329673609057542335421945677953173953318189,12.6000,0.6259,7.89,0.0079,9893.42,inventory-rebalancing,filled
2026-01-04T15:17:39.757Z,1/4/2026,3:17:39 PM,paper_1767539859757_h9i01wvcy,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Down,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,22831624436151072482123131472605168796501169678019310186620729537843710117022,12.6600,0.6009,7.61,0.0076,9885.81,inventory-rebalancing,filled
2026-01-04T15:17:40.806Z,1/4/2026,3:17:40 PM,paper_1767539860806_us9vhs18n,BUY,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET",Down,0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,34063249789873893185896660035227592329673609057542335421945677953173953318189,12.6000,0.6245,7.87,0.0079,9877.93,inventory-rebalancing,filled
2026-01-04T15:17:40.838Z,1/4/2026,3:17:40 PM,paper_1767539860838_kjspsxept,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Down,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,22831624436151072482123131472605168796501169678019310186620729537843710117022,12.6800,0.5951,7.55,0.0075,9870.38,inventory-rebalancing,filled
