Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767541725874,2026-01-04T15:48:45.874Z,2026,1,4,15,48,45,874,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:45AM-11:00AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10:45AM-11:00AM ET)",0x6f02e148dc9157eb020eab3f9c8190f4b0b444083c70ba40c9a611c36724f170,4.64,6.84,11.48,11.9200,11.2200,0.5250,0.4750,6.26,5.33,11.59,1.62,-1.51,0.11,0.95,0.3894,0.6093,1,1,Profit,New Market Snapshot,btc-updown-15m-1767541500
1767541726101,2026-01-04T15:48:46.101Z,2026,1,4,15,48,46,101,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:45AM-11:00AM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 10AM ET)",0x6f02e148dc9157eb020eab3f9c8190f4b0b444083c70ba40c9a611c36724f170,4.64,6.84,11.48,11.9200,11.2200,0.5250,0.4750,6.26,5.33,11.59,1.62,-1.51,0.11,0.95,0.3894,0.6093,1,1,Profit,New Market Snapshot,btc-updown-15m-1767541500
1767541726133,2026-01-04T15:48:46.133Z,2026,1,4,15,48,46,133,ETH-UpDown-15,"Ethereum Up or Down - January 4, 10:45AM-11:00AM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 10AM ET)",0x0e850973885085efa5fda3e84356ad1e1d551daed2ecf4498204d5af6bb2bc8d,3.79,7.71,11.50,12.4500,11.0700,0.5250,0.4750,6.54,5.26,11.79,2.74,-2.45,0.29,2.56,0.3047,0.6961,1,1,Profit,New Market Snapshot,eth-updown-15m-1767541500
1767541726204,2026-01-04T15:48:46.204Z,2026,1,4,15,48,46,204,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:45AM-11:00AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0x6f02e148dc9157eb020eab3f9c8190f4b0b444083c70ba40c9a611c36724f170,4.64,6.84,11.48,11.9200,11.2200,0.5250,0.4750,6.26,5.33,11.59,1.62,-1.51,0.11,0.95,0.3894,0.6093,1,1,Profit,New Market Snapshot,btc-updown-15m-1767541500
1767541726235,2026-01-04T15:48:46.235Z,2026,1,4,15,48,46,235,ETH-UpDown-15,"Ethereum Up or Down - January 4, 10:45AM-11:00AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0x0e850973885085efa5fda3e84356ad1e1d551daed2ecf4498204d5af6bb2bc8d,3.79,7.71,11.50,12.4500,11.0700,0.5250,0.4750,6.54,5.26,11.79,2.74,-2.45,0.29,2.56,0.3047,0.6961,1,1,Profit,New Market Snapshot,eth-updown-15m-1767541500
1767541726271,2026-01-04T15:48:46.271Z,2026,1,4,15,48,46,271,BTC-UpDown-1h-10,"Bitcoin Up or Down - January 4, 10AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,0.00,10.08,10.08,0.0000,10.8000,0.0000,0.8700,0.00,9.40,9.40,0.00,-0.68,-0.68,-6.79,,0.9334,0,1,UP Lost,New Market Snapshot,bitcoin-up-or-down-january-4-10am-et
1767542401132,2026-01-04T16:00:01.132Z,2026,1,4,16,0,1,132,ETH-UpDown-1h-10,"Ethereum Up or Down - January 4, 10AM ET",0xbe78807becfc96c01f801f701c2c8791d114db61146ae058b57f6c57bdc9ef0d,102.49,237.81,340.30,932.4500,267.7800,0.0300,0.9700,27.97,259.75,287.72,-74.52,21.94,-52.58,-15.45,0.1099,0.8881,52,178,Loss,Market Closed,ethereum-up-or-down-january-4-10am-et
1767542401152,2026-01-04T16:00:01.152Z,2026,1,4,16,0,1,152,BTC-UpDown-1h-10,"Bitcoin Up or Down - January 4, 10AM ET",0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,134.28,205.14,339.43,691.6200,265.3900,0.1200,0.8800,82.99,233.54,316.54,-51.29,28.40,-22.89,-6.74,0.1942,0.7730,46,79,Loss,Market Closed,bitcoin-up-or-down-january-4-10am-et
1767545057539,2026-01-04T16:44:17.539Z,2026,1,4,16,44,17,539,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 11:45AM-12:00PM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 11AM ET)",0x1b9ff6de73b000b287ac1ea64b80ef922ba0980e28fcf10af9e0bdb02824aefb,324.28,490.99,815.28,567.0100,950.8600,0.1050,0.8950,59.54,851.02,910.56,-264.75,360.03,95.28,11.69,0.5719,0.5164,62,88,Profit,New Market Snapshot,btc-updown-15m-1767545100
1767545057572,2026-01-04T16:44:17.572Z,2026,1,4,16,44,17,572,ETH-UpDown-15,"Ethereum Up or Down - January 4, 11:45AM-12:00PM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 11AM ET)",0xcd9701264115ffa810cc2519cfe32e006a1034c22e991b7fdca923984a22438c,329.88,169.37,499.25,494.3300,503.9700,0.9800,0.0200,484.44,10.08,494.52,154.56,-159.29,-4.73,-0.95,0.6673,0.3361,66,40,Loss,New Market Snapshot,eth-updown-15m-1767545100
1767545057711,2026-01-04T16:44:17.711Z,2026,1,4,16,44,17,711,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 11:45AM-12:00PM ET (Snapshot at new market: Ethereum Up or Down - January 4, 11AM ET)",0x1b9ff6de73b000b287ac1ea64b80ef922ba0980e28fcf10af9e0bdb02824aefb,324.28,490.99,815.28,567.0100,950.8600,0.1050,0.8950,59.54,851.02,910.56,-264.75,360.03,95.28,11.69,0.5719,0.5164,62,88,Profit,New Market Snapshot,btc-updown-15m-1767545100
1767545057742,2026-01-04T16:44:17.742Z,2026,1,4,16,44,17,742,ETH-UpDown-15,"Ethereum Up or Down - January 4, 11:45AM-12:00PM ET (Snapshot at new market: Ethereum Up or Down - January 4, 11AM ET)",0xcd9701264115ffa810cc2519cfe32e006a1034c22e991b7fdca923984a22438c,329.88,169.37,499.25,494.3300,503.9700,0.9800,0.0200,484.44,10.08,494.52,154.56,-159.29,-4.73,-0.95,0.6673,0.3361,66,40,Loss,New Market Snapshot,eth-updown-15m-1767545100
1767545057781,2026-01-04T16:44:17.781Z,2026,1,4,16,44,17,781,BTC-UpDown-1h-11,"Bitcoin Up or Down - January 4, 11AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 11AM ET)",0xe4f4a6f9d09797661248a5832e8ab624d67f1ecc58482c56bee8c24c0a982ab0,4.75,6.75,11.50,11.8700,11.2500,0.6450,0.3550,7.66,3.99,11.65,2.90,-2.76,0.15,1.27,0.4005,0.6000,1,1,Profit,New Market Snapshot,bitcoin-up-or-down-january-4-11am-et
