Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Fees,Balance After,Strategy,Status
2026-01-04T15:38:27.439Z,1/4/2026,3:38:27 PM,paper_1767541107439_4y8d912wz,BUY,"Bitcoin Up or Down - January 4, 10:30AM-10:45AM ET",Up,0x27e9c5d1d3d753388d6660325a4ceb3ff9e1bc7fb0d37b9c8f5b222964360f21,3151042854499543809815841496212585300808280348739231662809619537808848168768,12.1700,0.3450,4.20,0.0042,9995.80,inventory-rebalancing,filled
2026-01-04T15:38:27.559Z,1/4/2026,3:38:27 PM,paper_1767541107559_y5nbobafw,BUY,"Bitcoin Up or Down - January 4, 10:30AM-10:45AM ET",Down,0x27e9c5d1d3d753388d6660325a4ceb3ff9e1bc7fb0d37b9c8f5b222964360f21,47744912742023989222784525902847943182388891663026583833226957922350934643843,11.1400,0.6553,7.30,0.0073,9988.49,inventory-rebalancing,filled
2026-01-04T15:38:27.602Z,1/4/2026,3:38:27 PM,paper_1767541107602_ox7187kgu,BUY,"Ethereum Up or Down - January 4, 10:30AM-10:45AM ET",Up,0xe78c055fad556d44d7d928a619e892c3995b4f4173915308fed8f07639739dad,65682305466773018807333889259827307141414967579103294620125748619223870935409,17.8900,0.0951,1.70,0.0017,9986.79,inventory-rebalancing,filled
2026-01-04T15:38:27.915Z,1/4/2026,3:38:27 PM,paper_1767541107915_l5r89tdap,BUY,"Ethereum Up or Down - January 4, 10:30AM-10:45AM ET",Down,0xe78c055fad556d44d7d928a619e892c3995b4f4173915308fed8f07639739dad,74435843682419199844958616496367758222699109663513487607964106537869099839332,10.8200,0.9045,9.79,0.0098,9976.99,inventory-rebalancing,filled
2026-01-04T15:38:27.959Z,1/4/2026,3:38:27 PM,paper_1767541107959_dezmillnq,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Up,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,47788254812513699203435116117075386196932751989037594316269238114832097910708,14.5400,0.1651,2.40,0.0024,9974.59,inventory-rebalancing,filled
2026-01-04T15:38:28.071Z,1/4/2026,3:38:28 PM,paper_1767541108071_qmnsdcs8t,BUY,"Bitcoin Up or Down - January 4, 10AM ET",Down,0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,22831624436151072482123131472605168796501169678019310186620729537843710117022,10.8900,0.8343,9.09,0.0091,9965.49,inventory-rebalancing,filled
2026-01-04T15:38:28.167Z,1/4/2026,3:38:28 PM,paper_1767541108167_1n1s3y4kl,BUY,"Ethereum Up or Down - January 4, 10AM ET",Up,0xbe78807becfc96c01f801f701c2c8791d114db61146ae058b57f6c57bdc9ef0d,15959891887341172544668286220954998246672729785316275587074137249395056297832,14.9900,0.1499,2.25,0.0022,9963.24,inventory-rebalancing,filled
2026-01-04T15:38:28.319Z,1/4/2026,3:38:28 PM,paper_1767541108319_xglsxw3d2,BUY,"Ethereum Up or Down - January 4, 10AM ET",Down,0xbe78807becfc96c01f801f701c2c8791d114db61146ae058b57f6c57bdc9ef0d,77927083237166936309151264626214868439325583928105283225072748041499741481776,10.8800,0.8498,9.25,0.0092,9953.99,inventory-rebalancing,filled
2026-01-04T15:38:29.507Z,1/4/2026,3:38:29 PM,paper_1767541109507_5g8jlf7y6,BUY,"Bitcoin Up or Down - January 4, 10:30AM-10:45AM ET",Up,0x27e9c5d1d3d753388d6660325a4ceb3ff9e1bc7fb0d37b9c8f5b222964360f21,3151042854499543809815841496212585300808280348739231662809619537808848168768,12.2000,0.3395,4.14,0.0041,9949.84,inventory-rebalancing,filled
2026-01-04T15:38:29.548Z,1/4/2026,3:38:29 PM,paper_1767541109548_87ofg51gh,BUY,"Bitcoin Up or Down - January 4, 10:30AM-10:45AM ET",Down,0x27e9c5d1d3d753388d6660325a4ceb3ff9e1bc7fb0d37b9c8f5b222964360f21,47744912742023989222784525902847943182388891663026583833226957922350934643843,3.6200,0.6602,2.39,0.0024,9947.45,inventory-rebalancing,filled
