Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767541107914,2026-01-04T15:38:27.914Z,2026,1,4,15,38,27,914,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:30AM-10:45AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10:30AM-10:45AM ET)",0x27e9c5d1d3d753388d6660325a4ceb3ff9e1bc7fb0d37b9c8f5b222964360f21,4.20,7.30,11.50,12.1700,11.1400,0.4550,0.5450,5.54,6.07,11.61,1.34,-1.23,0.11,0.95,0.3450,0.6553,1,1,Profit,New Market Snapshot,btc-updown-15m-1767540600
1767541108035,2026-01-04T15:38:28.035Z,2026,1,4,15,38,28,35,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:30AM-10:45AM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 10AM ET)",0x27e9c5d1d3d753388d6660325a4ceb3ff9e1bc7fb0d37b9c8f5b222964360f21,4.20,7.30,11.50,12.1700,11.1400,0.4550,0.5450,5.54,6.07,11.61,1.34,-1.23,0.11,0.95,0.3450,0.6553,1,1,Profit,New Market Snapshot,btc-updown-15m-1767540600
1767541108071,2026-01-04T15:38:28.071Z,2026,1,4,15,38,28,71,ETH-UpDown-15,"Ethereum Up or Down - January 4, 10:30AM-10:45AM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 10AM ET)",0xe78c055fad556d44d7d928a619e892c3995b4f4173915308fed8f07639739dad,1.70,9.79,11.49,17.8900,10.8200,0.4500,0.5500,8.05,5.95,14.00,6.35,-3.84,2.51,21.88,0.0951,0.9045,1,1,Profit,New Market Snapshot,eth-updown-15m-1767540600
1767541108229,2026-01-04T15:38:28.229Z,2026,1,4,15,38,28,229,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:30AM-10:45AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0x27e9c5d1d3d753388d6660325a4ceb3ff9e1bc7fb0d37b9c8f5b222964360f21,4.20,7.30,11.50,12.1700,11.1400,0.4550,0.5450,5.54,6.07,11.61,1.34,-1.23,0.11,0.95,0.3450,0.6553,1,1,Profit,New Market Snapshot,btc-updown-15m-1767540600
1767541108277,2026-01-04T15:38:28.277Z,2026,1,4,15,38,28,277,ETH-UpDown-15,"Ethereum Up or Down - January 4, 10:30AM-10:45AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0xe78c055fad556d44d7d928a619e892c3995b4f4173915308fed8f07639739dad,1.70,9.79,11.49,17.8900,10.8200,0.4500,0.5500,8.05,5.95,14.00,6.35,-3.84,2.51,21.88,0.0951,0.9045,1,1,Profit,New Market Snapshot,eth-updown-15m-1767540600
1767541108319,2026-01-04T15:38:28.319Z,2026,1,4,15,38,28,319,BTC-UpDown-1h-10,"Bitcoin Up or Down - January 4, 10AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,2.40,9.09,11.49,14.5400,10.8900,0.2000,0.8000,2.91,8.71,11.62,0.51,-0.37,0.13,1.16,0.1651,0.8343,1,1,Profit,New Market Snapshot,bitcoin-up-or-down-january-4-10am-et
