Time,Market,PnL
03:14 AM,BTC,$-255.93
03:14 AM,BTC,+$301.40
03:14 AM,ETH,$-18.55
03:14 AM,ETH,+$16.32
03:59 AM,BTC,$-290.50
03:59 AM,BTC,+$351.59
03:59 AM,ETH,$-317.63
03:59 AM,ETH,+$360.64
