Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767539752110,2026-01-04T15:15:52.110Z,2026,1,4,15,15,52,110,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:15AM-10:30AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10:15AM-10:30AM ET)",0x97292a6545e2314a89415bee70e4c34f3b9f49e977c3020c93e491ffec7379bb,0.00,7.59,7.59,0.0000,12.6600,0.0000,0.5150,0.00,6.52,6.52,0.00,-1.07,-1.07,-14.14,,0.5998,0,1,UP Lost,New Market Snapshot,btc-updown-15m-1767539700
1767539752173,2026-01-04T15:15:52.173Z,2026,1,4,15,15,52,173,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:15AM-10:30AM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 10AM ET)",0x97292a6545e2314a89415bee70e4c34f3b9f49e977c3020c93e491ffec7379bb,0.00,7.59,7.59,0.0000,12.6600,0.0000,0.5150,0.00,6.52,6.52,0.00,-1.07,-1.07,-14.14,,0.5998,0,1,UP Lost,New Market Snapshot,btc-updown-15m-1767539700
1767539752218,2026-01-04T15:15:52.218Z,2026,1,4,15,15,52,218,ETH-UpDown-15,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 10AM ET)",0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,0.00,7.14,7.14,0.0000,12.7800,0.0000,0.5150,0.00,6.58,6.58,0.00,-0.56,-0.56,-7.85,,0.5589,0,1,UP Lost,New Market Snapshot,eth-updown-15m-1767539700
1767539752299,2026-01-04T15:15:52.299Z,2026,1,4,15,15,52,299,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 10:15AM-10:30AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0x97292a6545e2314a89415bee70e4c34f3b9f49e977c3020c93e491ffec7379bb,0.00,7.59,7.59,0.0000,12.6600,0.0000,0.5150,0.00,6.52,6.52,0.00,-1.07,-1.07,-14.14,,0.5998,0,1,UP Lost,New Market Snapshot,btc-updown-15m-1767539700
1767539752363,2026-01-04T15:15:52.363Z,2026,1,4,15,15,52,363,ETH-UpDown-15,"Ethereum Up or Down - January 4, 10:15AM-10:30AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0x969f515441749419f5d81ed4c9b2156f956c2808492c665eb91f5f8c7b5f859a,0.00,7.14,7.14,0.0000,12.7800,0.0000,0.5150,0.00,6.58,6.58,0.00,-0.56,-0.56,-7.85,,0.5589,0,1,UP Lost,New Market Snapshot,eth-updown-15m-1767539700
1767539752420,2026-01-04T15:15:52.420Z,2026,1,4,15,15,52,420,BTC-UpDown-1h-10,"Bitcoin Up or Down - January 4, 10AM ET (Snapshot at new market: Ethereum Up or Down - January 4, 10AM ET)",0x8ea5e227ad1956dd63bbacfb8d44ee1f12802a479ed1d8ef9d3cd426911e9cb0,0.00,7.65,7.65,0.0000,12.6500,0.0000,0.5500,0.00,6.96,6.96,0.00,-0.69,-0.69,-9.05,,0.6047,0,1,UP Lost,New Market Snapshot,bitcoin-up-or-down-january-4-10am-et
