Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767580334567,2026-01-05T02:32:14.567Z,2026,1,5,2,32,14,567,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 9:30PM-9:45PM ET (Snapshot at new market: Ethereum Up or Down - January 4, 9:30PM-9:45PM ET)",0x7fdaf49f9fdeb527c926946b1592577ee4fb72842bf9c45f3a2fc988595e9a0e,10.02,0.50,10.52,12.9300,2.2200,0.5500,0.4500,7.11,1.00,8.11,-2.91,0.50,-2.41,-22.88,0.7747,0.2253,1,1,Loss,New Market Snapshot,btc-updown-15m-1767580200
1767580334668,2026-01-05T02:32:14.668Z,2026,1,5,2,32,14,668,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 9:30PM-9:45PM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 9PM ET)",0x7fdaf49f9fdeb527c926946b1592577ee4fb72842bf9c45f3a2fc988595e9a0e,10.02,0.50,10.52,12.9300,2.2200,0.5500,0.4500,7.11,1.00,8.11,-2.91,0.50,-2.41,-22.88,0.7747,0.2253,1,1,Loss,New Market Snapshot,btc-updown-15m-1767580200
1767580334700,2026-01-05T02:32:14.700Z,2026,1,5,2,32,14,700,ETH-UpDown-15,"Ethereum Up or Down - January 4, 9:30PM-9:45PM ET (Snapshot at new market: Bitcoin Up or Down - January 4, 9PM ET)",0x20c612b558ce5301babd38001825814f1061e1fdd4531243f2e756fd07de352e,10.96,1.20,12.16,15.5600,4.0700,0.5450,0.4550,8.48,1.85,10.33,-2.48,0.65,-1.83,-15.05,0.7046,0.2946,1,1,Loss,New Market Snapshot,eth-updown-15m-1767580200
1767580334781,2026-01-05T02:32:14.781Z,2026,1,5,2,32,14,781,BTC-UpDown-15,"Bitcoin Up or Down - January 4, 9:30PM-9:45PM ET (Snapshot at new market: Ethereum Up or Down - January 4, 9PM ET)",0x7fdaf49f9fdeb527c926946b1592577ee4fb72842bf9c45f3a2fc988595e9a0e,10.02,0.50,10.52,12.9300,2.2200,0.5500,0.4500,7.11,1.00,8.11,-2.91,0.50,-2.41,-22.88,0.7747,0.2253,1,1,Loss,New Market Snapshot,btc-updown-15m-1767580200
1767580334814,2026-01-05T02:32:14.814Z,2026,1,5,2,32,14,814,ETH-UpDown-15,"Ethereum Up or Down - January 4, 9:30PM-9:45PM ET (Snapshot at new market: Ethereum Up or Down - January 4, 9PM ET)",0x20c612b558ce5301babd38001825814f1061e1fdd4531243f2e756fd07de352e,10.96,1.20,12.16,15.5600,4.0700,0.5450,0.4550,8.48,1.85,10.33,-2.48,0.65,-1.83,-15.05,0.7046,0.2946,1,1,Loss,New Market Snapshot,eth-updown-15m-1767580200
1767580334843,2026-01-05T02:32:14.843Z,2026,1,5,2,32,14,843,BTC-UpDown-1h-9,"Bitcoin Up or Down - January 4, 9PM ET (Snapshot at new market: Ethereum Up or Down - January 4, 9PM ET)",0xde651ee58e3b350fe98e07d01d1085ba2dc99bd5996d34d22bda769879e386f9,0.86,7.69,8.55,2.9600,10.8300,0.1950,0.8050,0.58,8.72,9.30,-0.28,1.03,0.75,8.76,0.2902,0.7098,1,1,Profit,New Market Snapshot,bitcoin-up-or-down-january-4-9pm-et
1767582001153,2026-01-05T03:00:01.153Z,2026,1,5,3,0,1,153,ETH-UpDown-1h-9,"Ethereum Up or Down - January 4, 9PM ET",0x085714fe0918768b82daf0b6406936b6dd588cacbc0d4fa191c22a31250a0933,11.57,26.45,38.02,152.2800,30.7700,0.0100,0.9950,1.52,30.62,32.14,-10.05,4.16,-5.88,-15.47,0.0760,0.8598,91,84,UP Lost,Market Closed,ethereum-up-or-down-january-4-9pm-et
1767582001181,2026-01-05T03:00:01.181Z,2026,1,5,3,0,1,181,BTC-UpDown-1h-9,"Bitcoin Up or Down - January 4, 9PM ET",0xde651ee58e3b350fe98e07d01d1085ba2dc99bd5996d34d22bda769879e386f9,322.58,239.20,561.77,609.0000,452.2100,0.8450,0.1550,514.61,70.09,584.70,192.03,-169.10,22.92,4.08,0.5297,0.5289,79,76,Profit,Market Closed,bitcoin-up-or-down-january-4-9pm-et
1767582017914,2026-01-05T03:00:17.914Z,2026,1,5,3,0,17,914,BTC-UpDown-1h-9,"Bitcoin Up or Down - January 4, 9PM ET (Snapshot at new market: Ethereum Up or Down - January 4, 9PM ET)",0xde651ee58e3b350fe98e07d01d1085ba2dc99bd5996d34d22bda769879e386f9,2.07,0.03,2.09,2.0800,2.8100,0.7050,0.2950,1.47,0.83,2.30,-0.60,0.80,0.20,9.64,0.9930,0.0100,1,1,Profit,New Market Snapshot,
